Code,OI/LO/KUSP
OI.2.GQ.5,In what ways can flexibility with numbers facilitate the process of solving equations?
OI.2.GQ.5.LO.5,Students solve single-variable linear equations involving rational numbers.
OI.2.GQ.5.LO.5.U.1,Any factor or multiple of an equation is an equivalent equation.
OI.2.GQ.5.LO.5.U.1.K.1,Multiplying or dividing both sides of an equation by the same number results in an equivalent equation.
OI.2.GQ.5.LO.5.U.1.K.2,"An equation including rational numbers can be expressed as an equivalent equation with integers, e.g., (1/2)𝑥 + 3 = 5  can be expressed as 𝑥 + 6 = 10."
OI.2.GQ.5.LO.5.U.1.SP.1,Express an equation with rational coefficients as an equivalent equation with integers.
OI.2.GQ.5.LO.5.U.1.SP.2,Solve equations with rational coefficients.
OI.2.GQ.5.LO.5.U.1.SP.3,"Solve problems, using equations with rational coefficients."
OI.2.GQ.5.LO.5.U.1.SP.4,"Solve linear equations, including with parentheses and variables on both sides of the equation."
OI.2.GQ.6,In what ways can multiple values be generalized?
OI.2.GQ.6.LO.6,Students interpret inequalities.
OI.2.GQ.6.LO.6.U.1,An inequality can describe the unequal relationship between all possible values of a variable and a number.
OI.2.GQ.6.LO.6.U.1.K.1,"An inequality is a relation that represents a comparison of two numbers or expressions, which may include a variable."
OI.2.GQ.6.LO.6.U.1.K.2,The solution of an inequality is a range of values that satisfies the inequality.
OI.2.GQ.6.LO.6.U.1.K.3,An inequality can be expressed by using words or symbols.
OI.2.GQ.6.LO.6.U.1.K.4,"A strict inequality describes values as “less than,” <, or “greater than,” >, a given number."
OI.2.GQ.6.LO.6.U.1.K.5,"A non-strict inequality describes values as “less than or equal to,” ≤, or “greater than or equal to,” ≥, a given number, i.e., 𝑥 ≥ 𝑎, indicates 𝑥 > 𝑎 or 𝑥 = 𝑎."
OI.2.GQ.6.LO.6.U.1.K.6,An inequality can be modelled on the number line by using a ray extending to the right for values greater than and to the left for values less than the given number.
OI.2.GQ.6.LO.6.U.1.K.7,"On the number line, the given number is indicated with an open dot, ○, for strict inequalities and with a closed dot, ●, for non-strict inequalities."
OI.2.GQ.6.LO.6.U.1.K.8,"Inequalities can describe real-world situations, such as
- speed limits
- height restrictions
- age restrictions"
OI.2.GQ.6.LO.6.U.1.SP.1,Identify an inequality as strict or non-strict.
OI.2.GQ.6.LO.6.U.1.SP.2,Model inequalities on the number line.
OI.2.GQ.6.LO.6.U.1.SP.3,"Verify, by substitution, whether a number is a solution of an inequality."
OI.2.GQ.6.LO.6.U.1.SP.4,Represent a real-world situation as an inequality.
OI.3,Geometry: The properties of geometric objects are explained through justification and proof.
OI.3.GQ.7,In what ways can similarity refine reasoning about geometric objects?
OI.3.GQ.7.LO.7,Students interpret similarity through scale factor.
OI.3.GQ.7.LO.7.U.1,Similarity of geometric objects can be explained with proportions.
OI.3.GQ.7.LO.7.U.1.K.1,Geometric objects are similar if one may be obtained from the other by using a scale factor or rotation.
OI.3.GQ.7.LO.7.U.1.K.2,All circles are similar and all squares are similar.
OI.3.GQ.7.LO.7.U.1.K.3,Rectangles are similar if they have the same ratio of the longer side to the shorter side.
OI.3.GQ.7.LO.7.U.1.K.4,"The scale factor is the result of dividing the scale drawing length by the corresponding original object length, when lengths are in the same units."
OI.3.GQ.7.LO.7.U.1.K.5,"The scale factor represents the ratios of the corresponding lengths in similar geometric objects, resulting in a similar object being
- enlarged when the scale factor is >1
- reduced when the scale factor is >0 and <1
- maintained when the scale factor is 1"
OI.3.GQ.7.LO.7.U.1.K.6,The scale factor that relates the areas of two similar objects is the square of the scale factor that relates the side lengths.
OI.3.GQ.7.LO.7.U.1.K.7,"Scale factors appear in real-world situations, such as
- maps
- blueprints
- scale drawings"
OI.3.GQ.7.LO.7.U.1.SP.1,Determine the scale factor of similar geometric objects.
OI.3.GQ.7.LO.7.U.1.SP.2,"Determine whether geometric objects are similar, given a scale factor."
OI.3.GQ.7.LO.7.U.1.SP.3,Solve problems involving areas of similar geometric objects.
OI.3.GQ.7.LO.7.U.1.SP.4,Solve problems involving scale factor in real-world situations.
OI.3.GQ.7.LO.7.U.2,Transformations of size can create similar shapes.
OI.3.GQ.7.LO.7.U.2.K.1,Applying a dilation to a geometric object creates a similar shape.
OI.3.GQ.7.LO.7.U.2.K.2,A dilation is a transformation of size (non-rigid transformation) determined by a scale factor and a dilation centre.
OI.3.GQ.7.LO.7.U.2.K.3,"A dilation centre is a fixed point on a plane, from which a geometric object is enlarged or reduced in all directions from the point."
OI.3.GQ.7.LO.7.U.2.K.4,"The 𝑥- and 𝑥- coordinates of each vertex of a polygon can be multiplied by a scale factor to determine the dilated shape on the Cartesian plane, with a dilation centre at the origin."
OI.3.GQ.7.LO.7.U.2.K.5,A geometric object and its corresponding dilated shape can be connected by straight lines through the dilation centre.
OI.3.GQ.7.LO.7.U.2.SP.1,"Dilate a geometric object in the Cartesian plane, given dilation centre (0,0) and a scale factor, using hands-on materials or a digital geometry environment."
OI.3.GQ.7.LO.7.U.2.SP.2,"Determine the coordinates of the vertices of a similar polygon, given dilation centre (0,0), a scale factor, and the coordinates of the polygon’s vertices."
OI.3.GQ.7.LO.7.U.2.SP.3,"Verify that geometric objects are similar, using the Cartesian plane or straight lines."
OI.3.GQ.8,How might multiple geometric relationships influence interpretation of a geometric object?
OI.3.GQ.8.LO.8,"Students analyze and explain triangle problems, using theorems."
OI.3.GQ.8.LO.8.U.1,Theorems are proved and can be applied to solve problems.
OI.3.GQ.8.LO.8.U.1.K.1,A theorem is a fact that is proved by previously known facts.
OI.3.GQ.8.LO.8.U.1.K.2,"The interior angles in a triangle can be determined by using angle theorems, including
- the sum of all interior angles in a triangle is 180°
- the two angles opposite the two equal sides in an isosceles triangle are congruent
- all interior angles in an equilateral triangle are 60°"
OI.3.GQ.8.LO.8.U.1.K.3,"The triangle inequality theorem states that for any triangle, the sum of any two side lengths is greater than the length of the third side."
OI.3.GQ.8.LO.8.U.1.K.4,"If a, b, and c are the lengths of the sides of a triangle, the triangle inequality theorem can be represented as
- a+b>c
- a+c>b
- b+c>a"
OI.3.GQ.8.LO.8.U.1.K.5,"The longest side of a right triangle, the hypotenuse, is directly opposite the right angle."
OI.3.GQ.8.LO.8.U.1.K.6,"For any right triangle, the area of the square on the longest side, c, is equal to the sum of the areas of the squares on the two shorter sides, a and b, according to the Pythagorean theorem."
OI.3.GQ.8.LO.8.U.1.K.7,"The Pythagorean theorem can be represented symbolically as
- a2 + b2 = c2"
OI.3.GQ.8.LO.8.U.1.SP.1,"Justify unknown interior angle measures in triangles, using angle theorems."
OI.3.GQ.8.LO.8.U.1.SP.2,"Prove that a geometric object is a triangle, given the three side lengths."
OI.3.GQ.8.LO.8.U.1.SP.3,"Prove that a triangle is a right triangle, using hands-on materials or a digital geometry environment."
OI.3.GQ.8.LO.8.U.1.SP.4,"Determine an unknown side length in a right triangle, given any two side lengths, using the Pythagorean theorem."
OI.3.GQ.8.LO.8.U.1.SP.5,"Illustrate a problem involving triangles, using hands-on materials or a digital geometry environment."
OI.3.GQ.8.LO.8.U.1.SP.6,"Solve problems involving triangles, using theorems."
OI.4,"Measurement: Attributes such as length, area, volume, and angle are quantified by measurement."
