Code,OI/LO/KUSP,Unit 1,Unit 2,Unit 3,Unit 4,Unit 5,Selected?,,,,
OI.1.GQ.2.LO.2.U.1.SP.11,Explore and analyze key battles and military accomplishments that had significance for Canada.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.2,Systems: Evaluating processes and structures of organizations builds understanding of decision making in the world.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.2.GQ.3,Students relate legislation to the evolution of sovereignty in Canada.,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
OI.2.GQ.3.LO.3,Students examine the Canadian government’s role in developing the economy post-Confederation.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.2.GQ.3.LO.3.U.1,Economic needs across a nation can be supported by government regulation.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.2.GQ.3.LO.3.U.1.K.1,"Economies can change and diversify over time in response to world events, government policies, and technological advancements.",FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.2.GQ.3.LO.3.U.1.K.2,Expansion west after Confederation contributed to changes in regional economies in the Dominion of Canada.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.2.GQ.3.LO.3.U.1.K.3,"Sir John A. Macdonald, Canada’s first prime minister, implemented the National Policy, which introduced tariffs on imported goods to protect industry in Canada’s regional economies and to promote consumption of Canadian products.",FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.2.GQ.3.LO.3.U.1.K.4,"Free trade agreements allow producers to sell goods without paying tariffs, giving consumers more choice.",FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.2.GQ.3.LO.3.U.1.K.5,"Regional economies contribute disparately to the economic output of a country, which is measured by gross domestic product, or GDP.",FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.2.GQ.3.LO.3.U.1.K.6,Economic inequalities between Canada’s regions are minimized through taxation and equalization payments.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.2.GQ.3.LO.3.U.1.K.7,"Regional economies based on extraction and manufacturing of natural resources, such as wheat and oil, reflect the importance of natural resources to Canada’s economy.",FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.2.GQ.3.LO.3.U.1.K.8,The GDP can influence banking by affecting the demand for financial services.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.2.GQ.3.LO.3.U.1.K.9,Banks can influence the GDP by facilitating access to capital for producers.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.2.GQ.3.LO.3.U.1.K.10,"The Bank of Canada, created in the 1930s, promotes Canada’s economic and financial welfare by regulating banking and the monetary system, such as in Canada’s first banks:
- the Bank of Montreal
- the Bank of Nova Scotia
- the Laurentian Bank of Canada
- the National Bank of Canada
- the Royal Bank of Canada
- the Canadian Imperial Bank of Commerce",FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.2.GQ.3.LO.3.U.1.SP.1,Analyze the impact of expansion west after Confederation on Canada’s economy.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.2.GQ.3.LO.3.U.1.SP.2,Investigate the short-term and long-term consequences of Sir John A. Macdonald’s National Policy on Canada’s economy.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.2.GQ.3.LO.3.U.1.SP.3,Research the contributions of Sir John A. Macdonald.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.2.GQ.3.LO.3.U.1.SP.4,Compare the opportunities and challenges of tariffs and free trade on the Canadian economy.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.2.GQ.3.LO.3.U.1.SP.5,Explain gross domestic product.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.2.GQ.3.LO.3.U.1.SP.6,Justify the use of taxation and equalization payments.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.2.GQ.3.LO.3.U.1.SP.7,Explain the crucial role of natural resources in Canada’s economic growth.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.2.GQ.3.LO.3.U.1.SP.8,Analyze the reciprocal relationship between gross domestic product and banking.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.2.GQ.3.LO.3.U.1.SP.9,Explain the role of the Bank of Canada in Canada’s economy.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.2.GQ.4,In what ways can the structure of government reflect the needs of a changing nation?,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
OI.2.GQ.4.LO.4,Students relate legislation to the evolution of sovereignty in Canada.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.2.GQ.4.LO.4.U.1,Canadian sovereignty increased through legislation.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.2.GQ.4.LO.4.U.1.K.1,The evolution of sovereignty in Canada was gradual.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.2.GQ.4.LO.4.U.1.K.2,"At Confederation, the British North America Act (1867), also known as the Constitution Act of 1867, outlined the organization of power and democratic structures in the Canadian government.",FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.2.GQ.4.LO.4.U.1.K.3,"Democratic structures include representative government, responsible government, and representation by population.",FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.2.GQ.4.LO.4.U.1.K.4,"The British North America Act (1867) established federalism, which unified Canada under one government but divided power between federal and provincial or territorial governments.",FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.2.GQ.4.LO.4.U.1.K.5,"The Canadian Constitution (1982) reflects the increase in Canada’s independence from Britain over time and includes Canada’s foundational constitutional documents:
- the British North America Act (1867)
- the Statute of Westminster (1931)
- the Constitution Act (1982)
- acts that created new provinces and territories, e.g., the Manitoba Act of 1870",FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.2.GQ.4.LO.4.U.1.K.6,The Canadian Constitution defines the principles and structure of the Canadian government and is the supreme law.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.2.GQ.4.LO.4.U.1.SP.1,Describe the purpose and significance of the British North America Act.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.2.GQ.4.LO.4.U.1.SP.2,Explain the interconnected nature of democratic structures in the Canadian government post-Confederation.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.2.GQ.4.LO.4.U.1.SP.3,Evaluate opportunities and challenges of federalism.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.2.GQ.4.LO.4.U.1.SP.4,Describe the purpose and significance of the Canadian Constitution.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.3,"Citizenship: Understanding local, national, and global issues empowers individual and collective action toward an inclusive society.",FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.3.GQ.5,How can the evolution of rights impact people in Canada?,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
OI.3.GQ.5.LO.5,Students examine evolving rights and discrimination in Canada.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.3.GQ.5.LO.5.U.1,Discrimination continues to present challenges.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.3.GQ.5.LO.5.U.1.K.1,"Discrimination sees people treated differently because of their ethnicity, religion, age, race, or disability.",FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.3.GQ.5.LO.5.U.1.K.2,"Past legislation in Canada reflected discrimination against groups, including women, Jewish Canadians, Sikh Canadians, Asian Canadians, and Black Canadians.",FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.3.GQ.5.LO.5.U.1.K.3,"Past legislation in Canada restricted immigration of cultural groups from North America, Europe, Africa, South America, and Asia, including the Chinese Head Tax that limited Chinese immigration.",FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.3.GQ.5.LO.5.U.1.K.4,"The Canadian Charter of Rights and Freedoms states that “every individual is equal before and under the law and has the right to the equal protection and equal benefit of the law without discrimination and, in particular, without discrimination based on race, national or ethnic origin, colour, religion, sex, age or mental or physical disability.”",FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.3.GQ.5.LO.5.U.1.K.5,"Section 28 of the Canadian Charter of Rights and Freedoms is a special provision of the Charter that prioritizes gender equality. The exact words of section 28 are “Notwithstanding anything else in this Charter, the rights and freedoms referred to in it are guaranteed equally to male and female persons.”",FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.3.GQ.5.LO.5.U.1.K.6,"Individuals and groups, including Asian Canadians and Black Canadians, have advocated, through civic action, to address discrimination.",FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
